time,balance,datetime
1775412000,501.0,2026-04-05 18:00:00
1775413800,501.0,2026-04-05 18:30:00
1775415600,501.0,2026-04-05 19:00:00
1775417400,501.0,2026-04-05 19:30:00
1775419200,501.0,2026-04-05 20:00:00
1775421000,501.0,2026-04-05 20:30:00
1775421900,501.0,2026-04-05 20:45:00
1775422800,501.0,2026-04-05 21:00:00
1775423700,501.0,2026-04-05 21:15:00
1775425500,501.0,2026-04-05 21:45:00
1775427300,501.0,2026-04-05 22:15:00
1775430000,501.0,2026-04-05 23:00:00
1775430900,501.0,2026-04-05 23:15:00
1775431800,501.0,2026-04-05 23:30:00
1775432700,501.0,2026-04-05 23:45:00
1775433600,501.0,2026-04-06 00:00:00
1775434500,501.0,2026-04-06 00:15:00
1775435400,501.0,2026-04-06 00:30:00
1775436300,501.0,2026-04-06 00:45:00
1775437200,501.0,2026-04-06 01:00:00
1775439000,501.0,2026-04-06 01:30:00
1775440800,501.0,2026-04-06 02:00:00
1775442600,501.0,2026-04-06 02:30:00
1775443500,501.0,2026-04-06 02:45:00
1775444400,501.0,2026-04-06 03:00:00
1775446200,501.0,2026-04-06 03:30:00
1775447100,501.0,2026-04-06 03:45:00
1775448000,501.0,2026-04-06 04:00:00
1775448900,501.0,2026-04-06 04:15:00
1775449800,501.0,2026-04-06 04:30:00
1775451600,501.0,2026-04-06 05:00:00
1775452500,501.0,2026-04-06 05:15:00
1775453400,501.0,2026-04-06 05:30:00
1775454300,501.0,2026-04-06 05:45:00
1775455200,501.0,2026-04-06 06:00:00
1775456100,501.0,2026-04-06 06:15:00
1775457900,501.0,2026-04-06 06:45:00
1775458800,501.0,2026-04-06 07:00:00
1775459700,501.0,2026-04-06 07:15:00
1775461500,501.0,2026-04-06 07:45:00
1775462400,501.0,2026-04-06 08:00:00
1775463300,499.0,2026-04-06 08:15:00
1775464200,499.0,2026-04-06 08:30:00
1775465100,499.0,2026-04-06 08:45:00
1775466000,499.0,2026-04-06 09:00:00
1775466900,499.0,2026-04-06 09:15:00
1775467800,499.0,2026-04-06 09:30:00
1775468700,499.0,2026-04-06 09:45:00
1775469600,499.0,2026-04-06 10:00:00
1775470500,499.0,2026-04-06 10:15:00
1775471400,499.0,2026-04-06 10:30:00
1775472300,499.0,2026-04-06 10:45:00
1775475000,499.0,2026-04-06 11:30:00
1775475900,499.0,2026-04-06 11:45:00
1775476800,499.0,2026-04-06 12:00:00
1775477700,499.0,2026-04-06 12:15:00
1775478600,499.0,2026-04-06 12:30:00
1775479500,499.0,2026-04-06 12:45:00
1775480400,499.0,2026-04-06 13:00:00
1775481300,499.0,2026-04-06 13:15:00
1775482200,499.0,2026-04-06 13:30:00
1775483100,499.0,2026-04-06 13:45:00
1775484000,499.0,2026-04-06 14:00:00
1775485800,499.0,2026-04-06 14:30:00
1775486700,499.0,2026-04-06 14:45:00
1775487600,499.0,2026-04-06 15:00:00
1775488500,499.0,2026-04-06 15:15:00
1775489400,499.0,2026-04-06 15:30:00
1775490300,499.0,2026-04-06 15:45:00
1775491200,499.0,2026-04-06 16:00:00
1775492100,499.0,2026-04-06 16:15:00
1775493000,499.0,2026-04-06 16:30:00
1775493900,499.0,2026-04-06 16:45:00
1775494800,499.0,2026-04-06 17:00:00
1775496600,499.0,2026-04-06 17:30:00
1775497500,499.0,2026-04-06 17:45:00
1775498400,499.0,2026-04-06 18:00:00
1775500200,499.0,2026-04-06 18:30:00
1775501100,499.0,2026-04-06 18:45:00
1775502000,499.0,2026-04-06 19:00:00
1775503800,499.0,2026-04-06 19:30:00
1775505600,497.0,2026-04-06 20:00:00
1775506500,497.0,2026-04-06 20:15:00
1775508300,497.0,2026-04-06 20:45:00
1775509200,497.0,2026-04-06 21:00:00
1775511000,497.0,2026-04-06 21:30:00
1775511900,495.0,2026-04-06 21:45:00
1775512800,495.0,2026-04-06 22:00:00
1775513700,495.0,2026-04-06 22:15:00
1775514600,495.0,2026-04-06 22:30:00
1775515500,495.0,2026-04-06 22:45:00
1775516400,495.0,2026-04-06 23:00:00
1775517300,495.0,2026-04-06 23:15:00
1775518200,495.0,2026-04-06 23:30:00
1775519100,495.0,2026-04-06 23:45:00
1775520900,495.0,2026-04-07 00:15:00
1775521800,495.0,2026-04-07 00:30:00
1775524500,495.0,2026-04-07 01:15:00
1775525400,495.0,2026-04-07 01:30:00
1775526300,495.0,2026-04-07 01:45:00
1775527200,495.0,2026-04-07 02:00:00
1775528100,495.0,2026-04-07 02:15:00
1775529000,495.0,2026-04-07 02:30:00
1775530800,495.0,2026-04-07 03:00:00
1775532600,495.0,2026-04-07 03:30:00
1775533500,495.0,2026-04-07 03:45:00
1775534400,495.0,2026-04-07 04:00:00
1775536200,495.0,2026-04-07 04:30:00
1775537100,495.0,2026-04-07 04:45:00
1775538000,493.0,2026-04-07 05:00:00
1775538900,493.0,2026-04-07 05:15:00
1775540700,493.0,2026-04-07 05:45:00
1775541600,493.0,2026-04-07 06:00:00
1775542500,493.0,2026-04-07 06:15:00
1775543400,493.0,2026-04-07 06:30:00
1775544300,493.0,2026-04-07 06:45:00
1775545200,493.0,2026-04-07 07:00:00
1775546100,493.0,2026-04-07 07:15:00
1775547900,493.0,2026-04-07 07:45:00
1775549700,493.0,2026-04-07 08:15:00
1775550600,493.0,2026-04-07 08:30:00
1775551500,493.0,2026-04-07 08:45:00
1775552400,493.0,2026-04-07 09:00:00
1775553300,493.0,2026-04-07 09:15:00
1775554200,493.0,2026-04-07 09:30:00
1775555100,493.0,2026-04-07 09:45:00
1775556000,493.0,2026-04-07 10:00:00
1775557800,493.0,2026-04-07 10:30:00
1775558700,493.0,2026-04-07 10:45:00
1775559600,493.0,2026-04-07 11:00:00
1775560500,493.0,2026-04-07 11:15:00
1775561400,493.0,2026-04-07 11:30:00
1775564100,493.0,2026-04-07 12:15:00
1775565900,493.0,2026-04-07 12:45:00
1775567700,493.0,2026-04-07 13:15:00
1775568600,493.0,2026-04-07 13:30:00
